190	534
197	532
215	524
220	522
235	518
250	513
265	507
269	506
279	502
294	497
317	487
339	479
350	469
364	462
388	451
401	445
417	429
423	421
446	413
460	407
473	397
490	386
495	381
502	375
523	360
537	351
548	341
563	330
576	322
590	311
597	305
608	297
626	283
635	277
650	266
657	260
664	255
678	245
691	235
700	227
707	221
719	213
382	318
401	325
417	326
438	326
451	331
467	338
474	345
496	350
514	352
528	348
536	336
517	325
490	317
458	309
433	309
416	309
401	307
398	311
691	179
684	191
679	217
679	239
694	257
725	266
757	269
785	261
798	242
801	221
779	225
755	244
748	247
734	220
744	197
766	203
792	209
814	190
799	163
203	533
232	534
265	535
282	534
308	531
345	531
373	530
409	530
457	530
492	528
523	528
547	528
585	528
613	528
646	528
667	527
684	526
698	526
694	562
667	576
643	577
623	553
623	528
648	504
691	498
758	516
784	474
765	443
710	437
713	455
744	471
743	479
710	490
668	493
664	524
668	555
707	556
731	528
730	515
734	499
746	496
670	470
752	455
736	474
539	372
534	400
535	421
536	445
536	473
536	491
536	510
536	526
718	166
789	155
727	173
761	172
709	194
480	156
509	211
552	244
575	265
246	342
241	401
303	225
